X,Y,Z
9.32977,-9.15466,-36.602
9.35716,-8.99505,-36.5975
9.36883,-8.99568,-36.5913
9.38293,-9.53013,-36.5938
9.37673,-9.53021,-36.5819
9.32977,-9.15466,-36.602
9.32358,-9.15474,-36.5902
9.35079,-8.99481,-36.5857
9.35716,-8.99505,-36.5975
9.36883,-8.99568,-36.5913
9.36247,-8.9969,-36.5795
9.34164,-9.15469,-36.5958
9.33544,-9.15476,-36.584
9.38859,-9.53023,-36.5757
9.39479,-9.53015,-36.5876
9.36247,-8.9969,-36.5795
9.35079,-8.99481,-36.5857
9.33544,-9.15476,-36.584
9.32358,-9.15474,-36.5902
9.37673,-9.53021,-36.5819
9.38859,-9.53023,-36.5757
9.40574,-8.04932,-36.5047
9.37916,-8.43205,-36.5623
9.41271,-8.05087,-36.516
9.38551,-8.43233,-36.574
9.33195,-8.79448,-36.5834
9.33854,-8.79446,-36.5952
9.36247,-8.9969,-36.5795
9.36883,-8.99568,-36.5913
9.36883,-8.99568,-36.5913
9.35716,-8.99505,-36.5975
9.33854,-8.79446,-36.5952
9.32713,-8.79451,-36.6013
9.37377,-8.4324,-36.5804
9.38551,-8.43233,-36.574
9.40152,-8.05091,-36.523
9.41271,-8.05087,-36.516
9.29539,-8.03469,-36.3615
9.30236,-8.03617,-36.3729
9.28981,-8.42982,-36.455
9.29615,-8.43008,-36.4667
9.28981,-8.42982,-36.455
9.29615,-8.43008,-36.4667
9.29082,-8.79509,-36.4665
9.29739,-8.79506,-36.4783
9.3178,-9.50882,-36.477
9.3116,-9.50889,-36.4652
9.25618,-9.15575,-36.4868
9.24998,-9.15582,-36.4749
9.29082,-8.79509,-36.4665
9.29739,-8.79506,-36.4783
9.32967,-9.50884,-36.4708
9.3178,-9.50882,-36.477
9.26804,-9.15577,-36.4806
9.25618,-9.15575,-36.4868
9.29739,-8.79506,-36.4783
9.30877,-8.79501,-36.4722
9.29615,-8.43008,-36.4667
9.3079,-8.42999,-36.4604
9.30236,-8.03617,-36.3729
9.31355,-8.03605,-36.3659
9.30658,-8.03456,-36.3545
9.29539,-8.03469,-36.3615
9.30155,-8.42973,-36.4486
9.28981,-8.42982,-36.455
9.30219,-8.79504,-36.4604
9.29082,-8.79509,-36.4665
9.26184,-9.15584,-36.4687
9.24998,-9.15582,-36.4749
9.3116,-9.50889,-36.4652
9.32347,-9.50892,-36.459
9.30658,-8.03456,-36.3545
9.30155,-8.42973,-36.4486
9.31355,-8.03605,-36.3659
9.3079,-8.42999,-36.4604
9.30219,-8.79504,-36.4604
9.30877,-8.79501,-36.4722
9.26804,-9.15577,-36.4806
9.26184,-9.15584,-36.4687
9.32347,-9.50892,-36.459
9.32967,-9.50884,-36.4708
9.78359,-9.00382,-37.2815
9.77557,-9.00409,-37.2857
9.70878,-9.00415,-37.1665
9.70092,-9.00442,-37.171
9.70092,-9.00442,-37.171
9.77557,-9.00409,-37.2857
9.70234,-9.01349,-37.1731
9.7758,-9.01316,-37.2856
9.78381,-9.01289,-37.2813
9.71014,-9.01322,-37.1684
9.7758,-9.01316,-37.2856
9.70234,-9.01349,-37.1731
9.70878,-9.00415,-37.1665
9.71014,-9.01322,-37.1684
9.78359,-9.00382,-37.2815
9.78381,-9.01289,-37.2813
9.28156,-8.98298,-36.4731
9.28015,-8.99215,-36.4733
9.54537,-9.00494,-36.837
9.5456,-9.01401,-36.8369
9.70878,-9.00415,-37.1665
9.71014,-9.01322,-37.1684
9.27407,-8.9833,-36.4773
9.28156,-8.98298,-36.4731
9.53736,-9.00521,-36.8413
9.54537,-9.00494,-36.837
9.70878,-9.00415,-37.1665
9.70092,-9.00442,-37.171
9.27407,-8.9833,-36.4773
